Dive Site ID,Lat,Lng,Temp(F),Wind Speed(mph),Record #
23369,42.143528,-80.11455600000001,36.7,11.41,14620
23908,41.498284000000005,-81.75959300000001,37.2,18.34,14292
23908,41.520447999999995,-81.716076,37.29,18.34,14296
23908,41.512713,-81.709879,37.31,18.34,14298
22589,42.993389,-82.426583,33.87,20.8,14207
22244,42.326972,-83.039917,34.14,9.17,10695
22244,42.336806,-83.012833,34.18,13.87,10696
24536,42.548333,-82.595,33.93,16.11,10700
24536,42.553360999999995,-82.58658299999999,33.93,16.11,10702
23908,41.516717,-81.71651899999999,37.29,18.34,1927
23908,41.626714,-81.536508,37.8,8.05,1936
23987,41.650044,-82.59989399999999,36.32,5.99,1940
21593,41.796711,-82.816575,34.54,3.36,1965
24111,41.841716999999996,-81.066486,38.95,14.65,1971
21593,41.916711,-83.16659200000001,34.25,9.17,1984
21577,41.956978,-81.960975,35.47,8.05,2001
21593,42.091708000000004,-83.146589,34.5,9.17,2022
24111,42.158372,-81.24316400000001,39.43,17.27,2031
22244,42.266703,-83.108253,34.47,13.87,2039
22244,42.266703,-83.108253,34.47,13.87,2040
21415,42.271383,-80.799817,38.08,16.44,2042
23369,42.291722,-79.69976700000001,34.61,3.0,2045
21202,42.400056,-79.599769,34.38,3.0,2120
23908,41.495014000000005,-81.712869,37.29,18.34,13898
23908,41.501994,-81.71235300000001,37.29,18.34,13900
23908,41.498308,-81.71865,37.27,18.34,13901
23908,41.497817,-81.718547,37.27,18.34,13902
23369,42.000056,-80.51646099999999,37.78,4.0,2947
21588,42.753694,-82.475139,33.87,8.05,14208
23908,41.513194,-81.725045,37.27,18.34,14297
23369,42.129333,-80.11361099999999,36.72,11.41,14615
22187,18.448611,-65.59944399999999,78.13,9.17,15083
22975,18.327806,-64.958917,81.37,5.99,8744
22975,18.326253,-64.957542,81.37,5.99,11853
22975,18.330389,-64.954472,81.37,5.99,11854
22975,18.329167,-64.95030600000001,81.37,5.99,11855
22975,18.323817000000002,-64.959108,81.39,5.99,11856
22975,18.326375,-64.95135,81.37,5.99,11857
