Record #,Vessel Terms,Feature Type,Lat,Lng,GP Quality
14620,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.143528,-80.11455600000002,High
14292,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.49828400000001,-81.75959300000002,High
14296,ALGERIA,"Wreck - Submerged, dangerous to surface navigation",41.520448,-81.716076,High
14298,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.512713,-81.709879,High
14207,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.993389,-82.426583,High
10695,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.326972,-83.039917,Low
10696,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.336806,-83.012833,Low
10700,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.548333,-82.595,Low
10702,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.553361,-82.58658299999998,Low
1927,WAHNAPITAE,Not Charted,41.516717,-81.71651899999998,Poor
1936,CLEVECO,Not Charted,41.626714,-81.536508,Poor
1940,F.H. PRINCE,Not Charted,41.650044,-82.59989399999998,Poor
1965,CASE,Not Charted,41.796711,-82.816575,Poor
1971,CHARLES B. HILL,Not Charted,41.841717,-81.066486,Poor
1984,CLARION,Not Charted,41.916711,-83.16659200000002,Poor
2001,FRANK E. VIGOR,"Wreck - Submerged, dangerous to surface navigation",41.956978,-81.960975,Low
2022,TASHMOO,Not Charted,42.091708,-83.146589,Poor
2031,KILARNEY,"Wreck - Submerged, dangerous to surface navigation",42.158372,-81.24316400000002,Low
2039,BRITTANIC,Not Charted,42.266703,-83.108253,Poor
2040,FONTANA,Not Charted,42.266703,-83.108253,Poor
2042,JAMES H. REED,"Wreck - Submerged, dangerous to surface navigation",42.271383,-80.799817,Low
2045,CITY OF ROME,Not Charted,42.291722,-79.69976700000002,Poor
2120,CITY OF DETROIT,Not Charted,42.400056,-79.599769,Poor
13898,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.49501400000001,-81.712869,Low
13900,UNKNOWN,Wreck - Visible,41.501994,-81.71235300000002,Low
13901,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.498308,-81.71865,Low
13902,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.497817,-81.718547,Low
